
UNIQUE_CARRIER, Description, QUARTER,Sum(CURR_LIABILITIES)
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","1",78295
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","2",82166
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","3",73477
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","4",84273
"0WQ","Avjet Corporation","1",40347
"0WQ","Avjet Corporation","2",37566
"0WQ","Avjet Corporation","3",40465
"0WQ","Avjet Corporation","4",35607
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC","1",11500
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC","2",16948
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC","3",16245
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC","4",18535
"1TQ","Rhoades Aviation dba Transair","1",240
"1TQ","Rhoades Aviation dba Transair","2",1503
"1TQ","Rhoades Aviation dba Transair","3",1605
"1TQ","Rhoades Aviation dba Transair","4",1529
"27Q","Jet Aviation Flight Services, Inc.","1",19179
"27Q","Jet Aviation Flight Services, Inc.","2",10302
"27Q","Jet Aviation Flight Services, Inc.","3",8988
"27Q","Jet Aviation Flight Services, Inc.","4",7089
"2HQ","Elite Airways LLC","1",21198
"2HQ","Elite Airways LLC","2",19530
"2HQ","Elite Airways LLC","3",17822
"2HQ","Elite Airways LLC","4",16054
"3EQ","Scott Aviation, LLC  d/b/a  Silver Air","1",10729
"3EQ","Scott Aviation, LLC  d/b/a  Silver Air","2",8789
"3EQ","Scott Aviation, LLC  d/b/a  Silver Air","3",8052
"3EQ","Scott Aviation, LLC  d/b/a  Silver Air","4",12340
"3FQ","Western Air Charter, Inc.  d/b/a  Jet Edge","1",
"3FQ","Western Air Charter, Inc.  d/b/a  Jet Edge","2",
"3FQ","Western Air Charter, Inc.  d/b/a  Jet Edge","3",
"3FQ","Western Air Charter, Inc.  d/b/a  Jet Edge","4",19028
"3M","Silver Airways","1",52119
"3M","Silver Airways","2",-56936
"3M","Silver Airways","3",71684
"3M","Silver Airways","4",64497
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","1",2333
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","2",2015
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","3",6222
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","4",5608
"5X","United Parcel Service","1",731054
"5X","United Parcel Service","2",769105
"5X","United Parcel Service","3",856768
"5X","United Parcel Service","4",918992
"5Y","Atlas Air Inc.","1",639160
"5Y","Atlas Air Inc.","2",730091
"5Y","Atlas Air Inc.","3",766650
"5Y","Atlas Air Inc.","4",808040
"8C","Air Transport International","1",38025
"8C","Air Transport International","2",43450
"8C","Air Transport International","3",52478
"8C","Air Transport International","4",46342
"9E","Endeavor Air Inc.","1",164743
"9E","Endeavor Air Inc.","2",123344
"9E","Endeavor Air Inc.","3",143808
"9E","Endeavor Air Inc.","4",143854
"9S","Southern Air Inc.","1",31103
"9S","Southern Air Inc.","2",24127
"9S","Southern Air Inc.","3",27975
"9S","Southern Air Inc.","4",35665
"AA","American Airlines Inc.","1",18981343
"AA","American Airlines Inc.","2",17618289
