
UNIQUE_CARRIER, Description, QUARTER,Sum(LIAB_SH_HLD_EQUITY)
"0JQ","Vision Airlines","1",13671
"0JQ","Vision Airlines","2",14748
"0JQ","Vision Airlines","3",
"0JQ","Vision Airlines","4",
"0WQ","Avjet Corporation","1",32213
"0WQ","Avjet Corporation","2",36383
"0WQ","Avjet Corporation","3",34184
"0WQ","Avjet Corporation","4",36779
"23Q","Songbird Airways Inc.","1",2061
"23Q","Songbird Airways Inc.","2",2796
"23Q","Songbird Airways Inc.","3",3740
"23Q","Songbird Airways Inc.","4",1937
"27Q","Jet Aviation Flight Services, Inc.","1",
"27Q","Jet Aviation Flight Services, Inc.","2",
"27Q","Jet Aviation Flight Services, Inc.","3",51654
"27Q","Jet Aviation Flight Services, Inc.","4",54855
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","1",29729
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","2",32892
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","3",34423
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","4",33106
"5X","United Parcel Service","1",8554677
"5X","United Parcel Service","2",8014993
"5X","United Parcel Service","3",8571092
"5X","United Parcel Service","4",7958428
"5Y","Atlas Air Inc.","1",2770637
"5Y","Atlas Air Inc.","2",2712888
"5Y","Atlas Air Inc.","3",2721205
"5Y","Atlas Air Inc.","4",2791200
"8C","Air Transport International","1",78229
"8C","Air Transport International","2",78935
"8C","Air Transport International","3",81020
"8C","Air Transport International","4",77287
"9E","Endeavor Air Inc.","1",199267
"9E","Endeavor Air Inc.","2",195334
"9E","Endeavor Air Inc.","3",186891
"9E","Endeavor Air Inc.","4",202627
"9S","Southern Air Inc.","1",111298
"9S","Southern Air Inc.","2",-19707
"9S","Southern Air Inc.","3",98442
"9S","Southern Air Inc.","4",113779
"AA","American Airlines Inc.","1",28964751
"AA","American Airlines Inc.","2",30399560
"AA","American Airlines Inc.","3",49045713
"AA","American Airlines Inc.","4",50438331
"ABX","ABX Air Inc","1",417636
"ABX","ABX Air Inc","2",414853
"ABX","ABX Air Inc","3",403896
"ABX","ABX Air Inc","4",405338
"AS","Alaska Airlines Inc.","1",7152907
"AS","Alaska Airlines Inc.","2",7566823
"AS","Alaska Airlines Inc.","3",7924436
"AS","Alaska Airlines Inc.","4",8128751
"B6","JetBlue Airways","1",8303717
"B6","JetBlue Airways","2",8316613
"B6","JetBlue Airways","3",8594274
"B6","JetBlue Airways","4",8660125
"CP (2)","Compass Airlines","1",49204
"CP (2)","Compass Airlines","2",52857
"CP (2)","Compass Airlines","3",46257
"CP (2)","Compass Airlines","4",51456
"DL","Delta Air Lines Inc.","1",57042059
"DL","Delta Air Lines Inc.","2",56067543
"DL","Delta Air Lines Inc.","3",56944908
"DL","Delta Air Lines Inc.","4",53155066
"EE","Eastern Airlines Group Inc.","1",
"EE","Eastern Airlines Group Inc.","2",
"EE","Eastern Airlines Group Inc.","3",16672
"EE","Eastern Airlines Group Inc.","4",20550
"EV","ExpressJet Airlines LLC d/b/a aha!","1",1422043
"EV","ExpressJet Airlines LLC d/b/a aha!","2",1431934
"EV","ExpressJet Airlines LLC d/b/a aha!","3",1402894
"EV","ExpressJet Airlines LLC d/b/a aha!","4",1332994
"F9","Frontier Airlines Inc.","1",975499
"F9","Frontier Airlines Inc.","2",1039635
"F9","Frontier Airlines Inc.","3",1100836
"F9","Frontier Airlines Inc.","4",1128712
"FCQ","Falcon Air Express","1",8500
