
UNIQUE_CARRIER, Description, QUARTER,Sum(CURR_ASSETS)
"0JQ","Vision Airlines","1",7924
"0JQ","Vision Airlines","2",9181
"0JQ","Vision Airlines","3",
"0JQ","Vision Airlines","4",
"0WQ","Avjet Corporation","1",14342
"0WQ","Avjet Corporation","2",18823
"0WQ","Avjet Corporation","3",16906
"0WQ","Avjet Corporation","4",19825
"23Q","Songbird Airways Inc.","1",1365
"23Q","Songbird Airways Inc.","2",1144
"23Q","Songbird Airways Inc.","3",1820
"23Q","Songbird Airways Inc.","4",1388
"27Q","Jet Aviation Flight Services, Inc.","1",
"27Q","Jet Aviation Flight Services, Inc.","2",
"27Q","Jet Aviation Flight Services, Inc.","3",23421
"27Q","Jet Aviation Flight Services, Inc.","4",29673
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","1",12676
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","2",16162
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","3",17865
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","4",16692
"5X","United Parcel Service","1",1010452
"5X","United Parcel Service","2",578158
"5X","United Parcel Service","3",1237045
"5X","United Parcel Service","4",722970
"5Y","Atlas Air Inc.","1",343921
"5Y","Atlas Air Inc.","2",305071
"5Y","Atlas Air Inc.","3",335181
"5Y","Atlas Air Inc.","4",297086
"8C","Air Transport International","1",17842
"8C","Air Transport International","2",9800
"8C","Air Transport International","3",17776
"8C","Air Transport International","4",18249
"9E","Endeavor Air Inc.","1",143255
"9E","Endeavor Air Inc.","2",140002
"9E","Endeavor Air Inc.","3",133549
"9E","Endeavor Air Inc.","4",149484
"9S","Southern Air Inc.","1",20562
"9S","Southern Air Inc.","2",12404
"9S","Southern Air Inc.","3",15509
"9S","Southern Air Inc.","4",23613
"AA","American Airlines Inc.","1",8432464
"AA","American Airlines Inc.","2",8898586
"AA","American Airlines Inc.","3",13657329
"AA","American Airlines Inc.","4",11163621
"ABX","ABX Air Inc","1",361610
"ABX","ABX Air Inc","2",359422
"ABX","ABX Air Inc","3",347924
"ABX","ABX Air Inc","4",347334
"AS","Alaska Airlines Inc.","1",3153765
"AS","Alaska Airlines Inc.","2",3345093
"AS","Alaska Airlines Inc.","3",3662707
"AS","Alaska Airlines Inc.","4",3829405
"B6","JetBlue Airways","1",1510654
"B6","JetBlue Airways","2",1404506
"B6","JetBlue Airways","3",1626031
"B6","JetBlue Airways","4",1372418
"CP (2)","Compass Airlines","1",35643
"CP (2)","Compass Airlines","2",38953
"CP (2)","Compass Airlines","3",32610
"CP (2)","Compass Airlines","4",38251
"DL","Delta Air Lines Inc.","1",12711752
"DL","Delta Air Lines Inc.","2",11884340
"DL","Delta Air Lines Inc.","3",12428955
"DL","Delta Air Lines Inc.","4",9003915
"EE","Eastern Airlines Group Inc.","1",
"EE","Eastern Airlines Group Inc.","2",
"EE","Eastern Airlines Group Inc.","3",2242
"EE","Eastern Airlines Group Inc.","4",5392
"EV","ExpressJet Airlines LLC d/b/a aha!","1",382058
"EV","ExpressJet Airlines LLC d/b/a aha!","2",415613
"EV","ExpressJet Airlines LLC d/b/a aha!","3",410327
"EV","ExpressJet Airlines LLC d/b/a aha!","4",368242
"F9","Frontier Airlines Inc.","1",490746
"F9","Frontier Airlines Inc.","2",483093
"F9","Frontier Airlines Inc.","3",479426
"F9","Frontier Airlines Inc.","4",532763
"FCQ","Falcon Air Express","1",2532
"FCQ","Falcon Air Express","2",
"FCQ","Falcon Air Express","3",
"FCQ","Falcon Air Express","4",
"FX","Federal Express Corporation","1",3949584
"FX","Federal Express Corporation","2",4106452
"FX","Federal Express Corporation","3",3985705
"FX","Federal Express Corporation","4",4100638
"G4","Allegiant Air","1",646489
"G4","Allegiant Air","2",696958
"G4","Allegiant Air","3",757956
"G4","Allegiant Air","4",792214
"G7","GoJet Airlines LLC d/b/a United Express","1",20543
"G7","GoJet Airlines LLC d/b/a United Express","2",20343
"G7","GoJet Airlines LLC d/b/a United Express","3",22674
"G7","GoJet Airlines LLC d/b/a United Express","4",17764
"GFQ","Gulf And Caribbean Cargo","1",15948
"GFQ","Gulf And Caribbean Cargo","2",17398
"GFQ","Gulf And Caribbean Cargo","3",19877
"GFQ","Gulf And Caribbean Cargo","4",15048
"GL","Miami Air International","1",18741
"GL","Miami Air International","2",18852
"GL","Miami Air International","3",17277
"GL","Miami Air International","4",17283
"HA","Hawaiian Airlines Inc.","1",607784
"HA","Hawaiian Airlines Inc.","2",725627
"HA","Hawaiian Airlines Inc.","3",717613
"HA","Hawaiian Airlines Inc.","4",662311
"KAQ","Kalitta Air LLC","1",122184
"KAQ","Kalitta Air LLC","2",120796
"KAQ","Kalitta Air LLC","3",117605
