
UNIQUE_CARRIER, Description, QUARTER,Sum(LIAB_SH_HLD_EQUITY)
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","1",454300
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","2",430036
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","3",366030
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","4",356496
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC","1",21561
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC","2",9207
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC","3",-1651
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC","4",-21522
"1TQ","Rhoades Aviation dba Transair","1",16656
"1TQ","Rhoades Aviation dba Transair","2",14190
"1TQ","Rhoades Aviation dba Transair","3",13199
"1TQ","Rhoades Aviation dba Transair","4",12880
"27Q","Jet Aviation Flight Services, Inc.","1",92608
"27Q","Jet Aviation Flight Services, Inc.","2",110948
"27Q","Jet Aviation Flight Services, Inc.","3",108709
"27Q","Jet Aviation Flight Services, Inc.","4",103335
"3EQ","Scott Aviation, LLC  d/b/a  Silver Air","1",12343
"3EQ","Scott Aviation, LLC  d/b/a  Silver Air","2",12427
"3EQ","Scott Aviation, LLC  d/b/a  Silver Air","3",11675
"3EQ","Scott Aviation, LLC  d/b/a  Silver Air","4",21791
"3FQ","Western Air Charter, Inc.  d/b/a  Jet Edge","1",
"3FQ","Western Air Charter, Inc.  d/b/a  Jet Edge","2",
"3FQ","Western Air Charter, Inc.  d/b/a  Jet Edge","3",634312
"3FQ","Western Air Charter, Inc.  d/b/a  Jet Edge","4",63532
"3M","Silver Airways","1",54612
"3M","Silver Airways","2",49275
"3M","Silver Airways","3",44538
"3M","Silver Airways","4",111205
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","1",55096
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","2",58595
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","3",57949
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","4",54931
"5X","United Parcel Service","1",14355950
"5X","United Parcel Service","2",13998747
"5X","United Parcel Service","3",13518905
"5X","United Parcel Service","4",13743475
"5Y","Atlas Air Inc.","1",4886705
"5Y","Atlas Air Inc.","2",4873267
"5Y","Atlas Air Inc.","3",4645394
"5Y","Atlas Air Inc.","4",4731573
"8C","Air Transport International","1",97999
"8C","Air Transport International","2",156799
"8C","Air Transport International","3",156236
"8C","Air Transport International","4",134633
"9E","Endeavor Air Inc.","1",291518
"9E","Endeavor Air Inc.","2",349498
"9E","Endeavor Air Inc.","3",392349
"9E","Endeavor Air Inc.","4",508326
"AA","American Airlines Inc.","1",72390534
"AA","American Airlines Inc.","2",73384556
"AA","American Airlines Inc.","3",72169276
"AA","American Airlines Inc.","4",70324071
"ABX","ABX Air Inc","1",359436
"ABX","ABX Air Inc","2",359436
"ABX","ABX Air Inc","3",376253
"ABX","ABX Air Inc","4",376253
"AS","Alaska Airlines Inc.","1",19684240
"AS","Alaska Airlines Inc.","2",20312300
"AS","Alaska Airlines Inc.","3",20064919
"AS","Alaska Airlines Inc.","4",19828290
"B6","JetBlue Airways","1",13802695
"B6","JetBlue Airways","2",13542785
"B6","JetBlue Airways","3",13329729
"B6","JetBlue Airways","4",13045018
"C5","CommuteAir LLC dba CommuteAir","1",86437
"C5","CommuteAir LLC dba CommuteAir","2",66440
"C5","CommuteAir LLC dba CommuteAir","3",66804
"C5","CommuteAir LLC dba CommuteAir","4",81817
"DL","Delta Air Lines Inc.","1",73738715
"DL","Delta Air Lines Inc.","2",74853899
"DL","Delta Air Lines Inc.","3",72731531
"DL","Delta Air Lines Inc.","4",72552244
"F9","Frontier Airlines Inc.","1",4131530
"F9","Frontier Airlines Inc.","2",4237519
"F9","Frontier Airlines Inc.","3",4244752
"F9","Frontier Airlines Inc.","4",4496648
"FX","Federal Express Corporation","1",47550742
"FX","Federal Express Corporation","2",47333929
"FX","Federal Express Corporation","3",45805184
"FX","Federal Express Corporation","4",47398993
"G4","Allegiant Air","1",4307673
"G4","Allegiant Air","2",4428117
"G4","Allegiant Air","3",4410299
"G4","Allegiant Air","4",4462162
"G7","GoJet Airlines LLC d/b/a United Express","1",38267
"G7","GoJet Airlines LLC d/b/a United Express","2",48897
"G7","GoJet Airlines LLC d/b/a United Express","3",54029
"G7","GoJet Airlines LLC d/b/a United Express","4",56828
"GFQ","Gulf And Caribbean Cargo","1",47417
"GFQ","Gulf And Caribbean Cargo","2",44099
"GFQ","Gulf And Caribbean Cargo","3",45994
"GFQ","Gulf And Caribbean Cargo","4",44117
"HA","Hawaiian Airlines Inc.","1",4435572
"HA","Hawaiian Airlines Inc.","2",4295423
"HA","Hawaiian Airlines Inc.","3",4153810
"HA","Hawaiian Airlines Inc.","4",4087568
"KAQ","Kalitta Air LLC","1",1297721
"KAQ","Kalitta Air LLC","2",1267569
"KAQ","Kalitta Air LLC","3",1315794
"KAQ","Kalitta Air LLC","4",1393983
"KD","Western Global","1",417979
"KD","Western Global","2",457777
"KD","Western Global","3",461784
"KD","Western Global","4",385863
"KH","Aloha Air Cargo","1",38036
"KH","Aloha Air Cargo","2",63312
"KH","Aloha Air Cargo","3",47524
"KH","Aloha Air Cargo","4",57238
"L2","Lynden Air Cargo Airlines","1",159775
"L2","Lynden Air Cargo Airlines","2",168687
"L2","Lynden Air Cargo Airlines","3",146486
"L2","Lynden Air Cargo Airlines","4",141597
"M6","Amerijet International","1",164377
"M6","Amerijet International","2",166613
"M6","Amerijet International","3",160605
"M6","Amerijet International","4",174479
"MQ","Envoy Air","1",465698
"MQ","Envoy Air","2",466243
"MQ","Envoy Air","3",465617
"MQ","Envoy Air","4",458889
"MX","Breeze Aviation Group DBA  Breeze","1",438837
"MX","Breeze Aviation Group DBA  Breeze","2",525311
"MX","Breeze Aviation Group DBA  Breeze","3",577515
"MX","Breeze Aviation Group DBA  Breeze","4",592227
"N8","National Air Cargo Group Inc d/ba National Airlines","1",216209
"N8","National Air Cargo Group Inc d/ba National Airlines","2",248143
"N8","National Air Cargo Group Inc d/ba National Airlines","3",270537
"N8","National Air Cargo Group Inc d/ba National Airlines","4",267231
"NC","Northern Air Cargo Inc.","1",152541
"NC","Northern Air Cargo Inc.","2",63365
"NC","Northern Air Cargo Inc.","3",54071
"NC","Northern Air Cargo Inc.","4",66021
"NK","Spirit Air Lines","1",8611717
"NK","Spirit Air Lines","2",8715023
"NK","Spirit Air Lines","3",8685495
"NK","Spirit Air Lines","4",9184774
"OH","PSA Airlines Inc.","1",333613
"OH","PSA Airlines Inc.","2",345707
"OH","PSA Airlines Inc.","3",338998
"OH","PSA Airlines Inc.","4",349308
"OO","SkyWest Airlines Inc.","1",6902078
"OO","SkyWest Airlines Inc.","2",7074843
"OO","SkyWest Airlines Inc.","3",7199247
"OO","SkyWest Airlines Inc.","4",7190591
"PFQ","Asia Pacific","1",78123
"PFQ","Asia Pacific","2",73854
"PFQ","Asia Pacific","3",75227
"PFQ","Asia Pacific","4",71603
"PO","Polar Air Cargo Airways","1",456555
"PO","Polar Air Cargo Airways","2",448069
"PO","Polar Air Cargo Airways","3",411325
"PO","Polar Air Cargo Airways","4",390572
"PT","Piedmont Airlines","1",200085
"PT","Piedmont Airlines","2",185045
"PT","Piedmont Airlines","3",179186
"PT","Piedmont Airlines","4",183467
"QX","Horizon Air","1",1125026
"QX","Horizon Air","2",1124640
"QX","Horizon Air","3",1115189
"QX","Horizon Air","4",1157080
"SY","Sun Country Airlines d/b/a MN Airlines","1",1423371
"SY","Sun Country Airlines d/b/a MN Airlines","2",1506738
"SY","Sun Country Airlines d/b/a MN Airlines","3",1521444
"SY","Sun Country Airlines d/b/a MN Airlines","4",1524413
"U7","USA Jet Airlines Inc.","1",437491
"U7","USA Jet Airlines Inc.","2",500576
"U7","USA Jet Airlines Inc.","3",542246
"U7","USA Jet Airlines Inc.","4",619316
"UA","United Air Lines Inc.","1",69009436
"UA","United Air Lines Inc.","2",70352285
"UA","United Air Lines Inc.","3",68939743
"UA","United Air Lines Inc.","4",67328973
"WI","Sky Lease Cargo","1",45374
"WI","Sky Lease Cargo","2",27097
"WI","Sky Lease Cargo","3",19553
"WI","Sky Lease Cargo","4",17598
"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","1",46581
"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","2",48751
"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","3",
"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","4",
"WN","Southwest Airlines Co.","1",37262007
"WN","Southwest Airlines Co.","2",38301723
"WN","Southwest Airlines Co.","3",35946456
"WN","Southwest Airlines Co.","4",35368721
"X9","Omni Air International LLC","1",732674
"X9","Omni Air International LLC","2",738084
"X9","Omni Air International LLC","3",748277
"X9","Omni Air International LLC","4",747579
